y_true,rf,xgb,mlp,tab
1,0.6343937839394795,0.6429983,0.69005066,0.80661225
0,0.2595688276946689,0.21635701,0.21544762,0.28051716
1,0.5095239794127941,0.45630643,0.45052278,0.15956147
0,0.6336939665006898,0.65590376,0.6903954,0.6824084
1,0.6148416269450341,0.6014619,0.6468085,0.591039
1,0.5670221993852749,0.52472353,0.51640534,0.449136
0,0.0577243550291509,0.042175807,0.029018575,0.021188708
1,0.2771473343174092,0.19409318,0.22533797,0.1633978
0,0.3405003922669998,0.25718167,0.14282219,0.22198288
1,0.7011657835351396,0.82488275,0.8928786,0.90798676
0,0.4743650482789495,0.39924672,0.29541698,0.35267016
1,0.3981930885493195,0.4724521,0.5524349,0.39835
1,0.5968812782091818,0.5617422,0.63461,0.39661402
0,0.4649984327864452,0.45916572,0.3277043,0.36316004
0,0.3097763084449106,0.31137866,0.32454517,0.23786831
0,0.6381297084265024,0.6374388,0.6685807,0.72440064
0,0.0272132210867099,0.016348131,0.010041029,0.018700749
0,0.150311073217326,0.25869298,0.18307495,0.16633181
1,0.7230179688103542,0.76133096,0.8529528,0.6381323
1,0.6021690432657529,0.60280776,0.7379549,0.48000258
0,0.0282463204999065,0.028866349,0.0035371582,0.008752882
1,0.697994000543628,0.81347674,0.77634025,0.7623678
1,0.617305703010034,0.54161453,0.62580776,0.62608373
1,0.179873275556375,0.23127024,0.13361181,0.19696498
1,0.4572732688659454,0.58410674,0.44378045,0.24325104
0,0.1098401372353292,0.060171954,0.07924577,0.03674857
1,0.5500719654150149,0.6309323,0.7783639,0.6873031
0,0.0267214438280419,0.012598383,0.011486341,0.028183047
0,0.2917984733203168,0.29163358,0.33565295,0.20613945
0,0.0552798237130298,0.041936904,0.010862431,0.009774243
0,0.0246383567952413,0.0078809,0.0016778893,0.0026530593
0,0.4810185204283262,0.3713543,0.3251187,0.30703792
0,0.30284780040582,0.27178714,0.26451033,0.4022407
0,0.0297279818757754,0.052069236,0.011041325,0.005934576
1,0.4949115239598158,0.58165663,0.5797077,0.6879211
0,0.0304455085586198,0.027317252,0.007825724,0.00579034
1,0.6889468114763344,0.6910168,0.6805596,0.671295
1,0.5510744100775049,0.56764764,0.61439455,0.49916783
1,0.455496591845422,0.53622955,0.43062046,0.16401663
0,0.2174956638596313,0.064813405,0.006398353,0.014935758
0,0.028190367536792,0.028894447,0.018840637,0.05080664
1,0.7180037930627473,0.7268597,0.81069946,0.8374257
0,0.0276167642975395,0.018960502,0.00496591,0.01698915
0,0.037812861455085,0.02538537,0.01896292,0.005627495
1,0.4326702492719496,0.43202612,0.73977476,0.76517814
0,0.029938449520899,0.016022975,0.006438551,0.011135126
0,0.0377449071245167,0.039629713,0.06469922,0.026573913
0,0.6268476896496841,0.6700554,0.72520655,0.6989447
0,0.0260720423425579,0.015209612,0.008625813,0.006297053
1,0.5528989901761665,0.50044006,0.60004866,0.4590494
1,0.0530831972762238,0.09746642,0.052827906,0.03389719
0,0.5021545192644254,0.46013618,0.47089973,0.4157585
1,0.6629031935690894,0.6821535,0.716651,0.7055893
0,0.6292151925636246,0.6042891,0.73652375,0.7441479
0,0.3189634315014972,0.23411685,0.34232906,0.49522865
1,0.6986139807845242,0.7121495,0.68539864,0.6160513
1,0.4865963225612441,0.45627764,0.66411096,0.42212144
1,0.4450361239179515,0.47065878,0.626603,0.38522634
1,0.7224271647664469,0.7320499,0.8107445,0.6647455
0,0.0262084632408443,0.017935822,0.0040546153,0.0550873
1,0.6160278465300326,0.56439096,0.63876396,0.73366845
0,0.3170675140957268,0.17121398,0.10737594,0.1604913
1,0.6267069707590004,0.58415675,0.66785157,0.7179205
1,0.2987905265216446,0.3052821,0.31127068,0.24968748
